County,State,Total Population,Population ages 25 to 44,Population ages 45 to 64,Population ages 65 and above,State,County,Tract
San Diego County,California,3468,1027,782,535,06,073,012304
San Diego County,California,3867,1069,895,447,06,073,012401
San Diego County,California,5357,1468,1376,580,06,073,012402
San Diego County,California,2876,658,693,589,06,073,012501
San Diego County,California,4656,1452,961,365,06,073,012502
San Diego County,California,4502,1124,1225,490,06,073,012600
San Diego County,California,5057,1558,1149,632,06,073,012700
San Diego County,California,3856,1032,982,583,06,073,012800
San Diego County,California,3319,898,807,511,06,073,012900
San Diego County,California,6617,2030,1380,864,06,073,013000
San Diego County,California,6829,2030,1489,681,06,073,013102
San Diego County,California,2725,752,700,297,06,073,013103
San Diego County,California,5970,1772,1135,762,06,073,013104
San Diego County,California,7276,1861,1378,957,06,073,013203
San Diego County,California,3989,1085,995,455,06,073,013204
San Diego County,California,2392,600,428,249,06,073,013205
San Diego County,California,7202,1834,1484,1281,06,073,013206
San Diego County,California,5228,1411,1270,695,06,073,013301
San Diego County,California,5055,1373,1341,795,06,073,013302
San Diego County,California,5196,1596,1362,877,06,073,013303
San Diego County,California,4255,1458,944,448,06,073,013306
San Diego County,California,4419,1117,1090,654,06,073,013307
San Diego County,California,3765,929,825,322,06,073,013308
San Diego County,California,7212,1985,1874,923,06,073,013309
San Diego County,California,28861,8366,7019,2469,06,073,013310
San Diego County,California,11264,3607,2392,750,06,073,013311
San Diego County,California,2831,831,640,228,06,073,013312
San Diego County,California,14371,5155,2683,768,06,073,013313
San Diego County,California,19151,6303,3794,1090,06,073,013314
San Diego County,California,4199,1066,1287,824,06,073,013401
San Diego County,California,5438,1152,1507,908,06,073,013409
San Diego County,California,8159,2376,1896,1128,06,073,013410
San Diego County,California,5258,1223,1490,1050,06,073,013411
San Diego County,California,4848,1232,1443,872,06,073,013412
San Diego County,California,7766,2091,1967,1199,06,073,013414
San Diego County,California,1436,318,455,269,06,073,013415
San Diego County,California,3761,1043,925,576,06,073,013416
San Diego County,California,2227,482,738,329,06,073,013417
San Diego County,California,6124,1646,1523,822,06,073,013418
San Diego County,California,8331,2380,1954,791,06,073,013419
San Diego County,California,3599,1010,857,547,06,073,013420
San Diego County,California,4748,1086,1378,583,06,073,013421
San Diego County,California,5822,1595,1466,820,06,073,013503
San Diego County,California,3671,938,1089,479,06,073,013504
San Diego County,California,4840,1265,1452,697,06,073,013505
San Diego County,California,4280,1144,998,434,06,073,013506
San Diego County,California,5229,1355,1467,999,06,073,013601
San Diego County,California,6341,1846,1678,786,06,073,013604
San Diego County,California,6680,1349,2211,1039,06,073,013605
San Diego County,California,6971,1721,1757,1400,06,073,013606
San Diego County,California,2378,554,677,594,06,073,013701
San Diego County,California,5646,1583,1485,507,06,073,013702
San Diego County,California,4988,1351,1254,760,06,073,013801
San Diego County,California,3016,944,704,180,06,073,013802
San Diego County,California,4519,1132,1025,934,06,073,013903
San Diego County,California,3893,1206,1085,310,06,073,013905
San Diego County,California,5293,1485,1267,621,06,073,013906
San Diego County,California,4483,1234,900,286,06,073,013907
San Diego County,California,4432,1060,1119,364,06,073,013908
San Diego County,California,4590,1284,1158,507,06,073,013909
San Diego County,California,4575,1402,1140,643,06,073,014001
San Diego County,California,4541,1168,1081,575,06,073,014002
San Diego County,California,3886,1298,893,377,06,073,014101
San Diego County,California,4017,1020,1057,686,06,073,014102
San Diego County,California,6283,1597,1811,870,06,073,014200
San Diego County,California,4046,1163,1062,314,06,073,014300
San Diego County,California,3928,1326,737,602,06,073,014400
San Diego County,California,4014,1242,941,406,06,073,014500
San Diego County,California,4731,1549,977,777,06,073,014601
San Diego County,California,4975,1533,1185,748,06,073,014602
San Diego County,California,8044,2499,1973,919,06,073,014700
San Diego County,California,5096,1527,1146,977,06,073,014803
San Diego County,California,3900,1106,1040,982,06,073,014804
San Diego County,California,4405,1639,978,735,06,073,014805
San Diego County,California,2737,832,759,275,06,073,014806
San Diego County,California,4606,1509,1209,675,06,073,014901
San Diego County,California,3537,1226,930,386,06,073,014902
San Diego County,California,6489,2471,1389,812,06,073,015000
San Diego County,California,4973,1313,1347,748,06,073,015100
San Diego County,California,3734,865,1021,878,06,073,015200
San Diego County,California,3148,915,745,167,06,073,015301
San Diego County,California,3991,920,1186,1027,06,073,015302
San Diego County,California,2680,389,848,573,06,073,015403
San Diego County,California,8349,2174,1938,1059,06,073,015404
San Diego County,California,5661,1393,1672,900,06,073,015405
San Diego County,California,2714,543,880,532,06,073,015406
San Diego County,California,5102,1019,1786,865,06,073,015501
San Diego County,California,2849,707,879,431,06,073,015502
San Diego County,California,6169,1414,1858,725,06,073,015601
San Diego County,California,2305,365,811,478,06,073,015602
San Diego County,California,6498,1753,1632,550,06,073,015701
San Diego County,California,6792,1818,1544,972,06,073,015703
San Diego County,California,4113,1034,1192,359,06,073,015704
